Timestamp,Tout [C],Qsol.ver [w/m2],AirVol [CFM],Tsup [C],Troom [C],Light Level [%]
14-Jul-15 12:00:00 AM EDT,22.55555556,0.6,218.6666667,27.77777778,24.21666667,100
14-Jul-15 12:05:00 AM EDT,22.61111111,0.6,219.3333333,28.98148148,24.25,100
14-Jul-15 12:10:00 AM EDT,22.66666667,0.6,220,27.59259259,24.18333333,100
14-Jul-15 12:15:00 AM EDT,22.72222222,0.6,220,27.73148148,24.1,100
14-Jul-15 12:20:00 AM EDT,22.83333333,0.5,221.3333333,26.25,23.93333333,100
14-Jul-15 12:25:00 AM EDT,22.88888889,0.6,331.3333333,21.06481481,22.96666667,100
14-Jul-15 12:30:00 AM EDT,22.77777778,0.6,481.3333333,16.66666667,22.35,100
14-Jul-15 12:35:00 AM EDT,22.88888889,0.6,448.6666667,16.38888889,21.9,100
14-Jul-15 12:40:00 AM EDT,22.83333333,0.6,406.6666667,16.38888889,21.56666667,100
14-Jul-15 12:45:00 AM EDT,22.72222222,0.6,368.6666667,16.38888889,21.38333333,100
14-Jul-15 12:50:00 AM EDT,22.66666667,0.6,339.3333333,16.38888889,21.18333333,100
14-Jul-15 12:55:01 AM EDT,22.61111111,0.6,318,16.38888889,21.08333333,100
14-Jul-15 1:00:01 AM EDT,22.55555556,0.6,298,16.38888889,20.93333333,100
14-Jul-15 1:05:00 AM EDT,22.55555556,0.6,288,16.38888889,20.86666667,100
14-Jul-15 1:10:00 AM EDT,22.5,0.6,284,16.38888889,20.8,100
14-Jul-15 1:15:00 AM EDT,22.5,0.6,266.6666667,16.38888889,20.81666667,100
14-Jul-15 1:20:01 AM EDT,22.55555556,0.6,214.6666667,16.52777778,20.81666667,100
14-Jul-15 1:25:00 AM EDT,22.5,0.6,172,20.27777778,21.2,100
14-Jul-15 1:30:00 AM EDT,22.38888889,0.5,220,29.76851852,22.6,100
14-Jul-15 1:35:01 AM EDT,22.33333333,0.6,219.3333333,29.72222222,23.66666667,100
14-Jul-15 1:40:00 AM EDT,22.16666667,0.6,219.3333333,29.12037037,23.6,100
14-Jul-15 1:45:00 AM EDT,22.05555556,0.7,220,29.12037037,23.6,100
14-Jul-15 1:50:00 AM EDT,22,0.6,220,29.02777778,23.6,100
14-Jul-15 1:55:00 AM EDT,22,0.6,220,28.93518519,23.65,100
14-Jul-15 2:00:00 AM EDT,21.94444444,0.6,220.6666667,28.51851852,23.66666667,100
14-Jul-15 2:05:00 AM EDT,21.83333333,0.6,220,28.14814815,23.66666667,100
14-Jul-15 2:10:00 AM EDT,21.88888889,0.6,220,26.89814815,23.56666667,100
14-Jul-15 2:15:01 AM EDT,21.94444444,0.5,220,26.2962963,23.53333333,100
14-Jul-15 2:20:00 AM EDT,21.88888889,0.6,220,24.53703704,23.36666667,100
14-Jul-15 2:25:00 AM EDT,21.94444444,0.5,327.3333333,18.19444444,22.56666667,100
14-Jul-15 2:30:00 AM EDT,21.83333333,0.6,502.6666667,16.94444444,21.7,100
14-Jul-15 2:35:00 AM EDT,21.94444444,0.6,497.3333333,16.94444444,21.3,100
14-Jul-15 2:40:00 AM EDT,22,0.7,481.3333333,16.75925926,21.11666667,100
14-Jul-15 2:45:00 AM EDT,21.88888889,0.6,478,16.38888889,20.93333333,100
14-Jul-15 2:50:00 AM EDT,21.72222222,0.6,466,16.43518519,20.83333333,100
14-Jul-15 2:55:00 AM EDT,21.72222222,0.6,457.3333333,16.38888889,20.7,100
14-Jul-15 3:00:00 AM EDT,21.72222222,0.6,456,16.38888889,20.56666667,100
14-Jul-15 3:05:00 AM EDT,21.66666667,0.6,433.3333333,16.38888889,20.36666667,100
14-Jul-15 3:10:00 AM EDT,21.72222222,0.6,416.6666667,16.38888889,20.3,100
14-Jul-15 3:15:00 AM EDT,21.77777778,0.6,410,16.38888889,20.2,100
14-Jul-15 3:20:00 AM EDT,21.72222222,0.7,282,16.25,20.05,100
14-Jul-15 3:25:00 AM EDT,21.88888889,0.7,178.6666667,19.49074074,20.43333333,100
14-Jul-15 3:30:00 AM EDT,22,0.6,220,29.9537037,21.71666667,100
14-Jul-15 3:35:00 AM EDT,22.16666667,0.7,220,25.0462963,22.15,100
14-Jul-15 3:40:00 AM EDT,22.16666667,0.6,220,24.62962963,22.13333333,100
14-Jul-15 3:45:00 AM EDT,22.16666667,0.6,220,24.81481481,22.11666667,100
14-Jul-15 3:50:00 AM EDT,22.22222222,0.6,218.6666667,23.65740741,22.08333333,100
14-Jul-15 3:55:00 AM EDT,22.16666667,0.6,220,23.37962963,22.03333333,100
14-Jul-15 4:00:00 AM EDT,22.22222222,0.6,219.3333333,23.28703704,21.98333333,100
14-Jul-15 4:05:00 AM EDT,22.22222222,0.7,220.6666667,23.88888889,22.06666667,100
14-Jul-15 4:10:00 AM EDT,22.27777778,0.6,219.3333333,23.56481481,22.01666667,100
14-Jul-15 4:15:00 AM EDT,22.33333333,0.7,219.3333333,23.56481481,21.96666667,100
14-Jul-15 4:20:00 AM EDT,22.27777778,0.6,220,21.2962963,21.8,100
14-Jul-15 4:25:00 AM EDT,22.27777778,0.7,220.6666667,19.49074074,21.41666667,100
14-Jul-15 4:30:01 AM EDT,22.27777778,0.6,222,22.68518519,21.4,100
14-Jul-15 4:35:00 AM EDT,22.38888889,0.6,220,21.99074074,21.43333333,100
14-Jul-15 4:40:00 AM EDT,22.38888889,0.6,219.3333333,21.25,21.41666667,100
14-Jul-15 4:45:00 AM EDT,22.5,0.6,219.3333333,21.34259259,21.28333333,100
14-Jul-15 4:50:00 AM EDT,22.55555556,0.6,220,20.78703704,21.4,100
14-Jul-15 4:55:00 AM EDT,22.55555556,0.6,220,21.89814815,21.41666667,100
14-Jul-15 5:00:00 AM EDT,22.61111111,0.6,220,20.97222222,21.26666667,100
14-Jul-15 5:05:00 AM EDT,22.72222222,0.6,219.3333333,19.67592593,21.33333333,100
14-Jul-15 5:10:00 AM EDT,22.66666667,0.6,220,21.80555556,21.36666667,100
14-Jul-15 5:15:00 AM EDT,22.61111111,0.5,220.6666667,21.01851852,21.31666667,100
14-Jul-15 5:20:00 AM EDT,22.55555556,0.6,219.3333333,22.36111111,21.51666667,100
14-Jul-15 5:25:00 AM EDT,22.55555556,0.6,219.3333333,22.82407407,21.7,100
14-Jul-15 5:30:00 AM EDT,22.44444444,0.7,220.6666667,22.36111111,21.71666667,100
14-Jul-15 5:35:00 AM EDT,22.5,0.6,220,21.52777778,21.65,100
14-Jul-15 5:40:01 AM EDT,22.38888889,0.5,220,21.11111111,21.61666667,100
14-Jul-15 5:45:00 AM EDT,22.38888889,0.6,220,20.92592593,21.66666667,100
14-Jul-15 5:50:00 AM EDT,22.38888889,0.6,220,21.89814815,21.61666667,100
14-Jul-15 5:55:01 AM EDT,22.38888889,0.7,220,22.03703704,21.61666667,100
14-Jul-15 6:00:00 AM EDT,22.27777778,0.6,220,20.46296296,21.56666667,100
